id,question,original_question,expected_answer,tipo_inferencia,source_titles,source_urls,context_concat,context_words,entities,reasoning_path,num_hops,difficulty,requires_ontology,retrieval_scope,dataset_version
12,"Que interpretação temporal pode ser obtida ao relacionar pré-sal, camada de sal e idade relativa?",Que unidade estratigráfica deve ser vista como mais antiga quando comparada às rochas acima do sal?,"As rochas do pré-sal são mais antigas que as rochas acima do sal, pois o prefixo pré- se refere à idade relativa de formação.",temporal_estratigrafica,Petróleo do Pré-Sal | SGB | Como Sabemos a Idade das Rochas? | SGB,https://www.sgb.gov.br/petroleo-do-pre-sal | https://www.sgb.gov.br/como-sabemos-a-idade-das-rochas,"O que se chama de pré-sal são as rochas sedimentares que existem abaixo da uma camada de sal com até 2.000 m de espessura, que se estende por uma grande extensão. O prefixo pré-, portanto, refere-se ao tempo, não ao espaço. Esse material vai sendo empilhado e, naturalmente, quanto mais embaixo ele estiver na pilha mais antigo ele é.",59,pré-sal | camada de sal | idade relativa | Esse,pré-sal -> camada de sal -> idade relativa -> Esse -> baixa permeabilidade -> selo geológico -> retenção de hidrocarbonetos,4,hard,False,multi_document,graphrag
13,Como as evidências conectam pré-sal à geração de óleo e gás?,Qual entidade conecta a formação de grandes depressões lacustres à geração de óleo e gás?,"A matéria orgânica acumulada em regiões profundas dos lagos, misturada a sedimentos, conecta a história lacustre à geração de óleo e gás.",geracao_de_hidrocarbonetos,Pré-sal: mergulhe nessa jornada ultraprofunda | Petrobras | Sistema petrolífero | Wikipédia,https://petrobras.com.br/pre-sal | https://pt.wikipedia.org/wiki/Sistema_petrol%C3%ADfero,"Com essa separação, surgiram grandes depressões que deram origem a diversos lagos, que mais tarde foram conectados aos oceanos. Nas regiões mais profundas destes lagos começaram a acumular grandes quantidades de matéria orgânica de algas microscópicas. Esta matéria orgânica, misturada a sedimentos, formou o que são as rochas que geram o óleo e o gás do pré-sal. O ambiente de deposição consiste principalmente de lagos, deltas e bacias oceânicas. O tipo de petróleo gerado depende do tipo de matéria orgânica: vegetais terrestres carreados tendem a gerar gás, enquanto que os plânctons tendem a gerar óleo.",95,pré-sal | petróleo | óleo | gás | matéria orgânica | algas microscópicas | lagos | deposição,pré-sal -> petróleo -> óleo -> gás -> matéria orgânica -> rocha geradora -> geração de hidrocarbonetos,4,hard,True,multi_document,graphrag
14,"Que relação entre composição, propriedade e função geológica pode ser inferida a partir de Bacia de Santos?",Por que os evaporitos são compatíveis com a interpretação de uma cobertura salina no pré-sal?,Porque evaporitos são rochas sedimentares químicas geradas por evaporação de sais e podem formar camadas salinas que atuam como cobertura.,composicional_petrofisica,Evaporito | Wikipédia | Estratigrafia e modelos deposicionais carbonáticos do Pré-sal da Bacia de Santos | Universidade Petrobras,https://pt.wikipedia.org/wiki/Evaporito | https://publicacoesup.petrobras.com.br/peld/catalog/book/12/chapter/16,"Na visão tradicional, evaporito ou depósito salino é uma rocha sedimentar formada pela cristalização e precipitação química dos sais dissolvidos em um meio aquoso, devido a um processo de evaporação. Evaporitos são considerados rochas sedimentares químicas. Campos gigantes e supergigantes de alta produtividade na seção Pré-sal da Bacia de Santos são constituídos predominantemente por fácies carbonáticas lacustres e selados por espessa camada de evaporitos.",64,Bacia de Santos | pré-sal | evaporitos | carbonáticas | Campos | Bacia | Santos,Bacia de Santos -> pré-sal -> evaporitos -> carbonáticas -> Campos -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
15,Que interpretação espacial pode ser obtida ao conectar Formação Barra Velha com Formação Itapema?,Qual papel dos altos herdados do embasamento na distribuição dos carbonatos do Aptiano?,"Os altos herdados do embasamento funcionaram como áreas favoráveis à deposição de carbonatos bioquímicos aptianos, como laminitos e estromatólitos.",espacial_deposicional,Estratigrafia e modelos deposicionais carbonáticos do Pré-sal da Bacia de Santos | Universidade Petrobras | Campo de Búzios: a jornada desde a caracterização dos reservatórios ao início do desenvolvimento da produção | Universidade Petrobras,https://publicacoesup.petrobras.com.br/peld/catalog/book/12/chapter/16 | https://publicacoesup.petrobras.com.br/peld/catalog/book/12/chapter/23,"As rochas carbonáticas do Aptiano, andar local Alagoas, são depósitos autóctones bioquímicos representados por laminitos e arbustos fasciculares (estromatolitos) que se depositaram em condições alcalinas, sobre altos herdados do embasamento e em contexto de subsidência térmica flexural com menor influência de falhas. Nos altos estruturais, a Formação Itapema é composta majoritariamente por rudstones e grainstones de bivalves e a Formação Barra Velha, por estromatólitos, grainstones intraclásticos e esferulititos.",68,Formação Barra Velha | Formação Itapema | carbonatos | carbonáticas | estromatólitos | bivalves | rudstones | grainstones | esferulititos,Formação Barra Velha -> Formação Itapema -> carbonatos -> carbonáticas -> estromatólitos -> posição espacial -> relação entre unidades,4,hard,True,multi_document,graphrag
16,Que interpretação estrutural surge ao relacionar petróleo com óleo?,Qual feição deposicional associa coquinas do Jiquiá à tectônica rifte?,"As coquinas do Jiquiá ocorrem sobre blocos altos falhados formados durante a tectônica rifte, relacionando sua distribuição a altos estruturais herdados.",estrutural_deposicional,Estratigrafia e modelos deposicionais carbonáticos do Pré-sal da Bacia de Santos | Universidade Petrobras | Sistema petrolífero | Wikipédia,https://publicacoesup.petrobras.com.br/peld/catalog/book/12/chapter/16 | https://pt.wikipedia.org/wiki/Sistema_petrol%C3%ADfero,"Depósitos bioclásticos de moluscos bivalves do Barremiano/Aptiano, denominados coquinas do andar local Jiquiá, ocorrem sobre blocos altos falhados, formados durante a tectônica rifte, em morfologias herdadas do embasamento, intercalados com fácies ricas em matéria orgânica em camadas conformantes contínuas nos baixos adjacentes, em ambiente de água doce a salobra. Uma armadilha estrutural consiste de configurações geométricas de estruturas de rochas que acumulam o petróleo, não permitindo sua fuga. Podem ser domos salinos, flancos de homoclinais ou ainda, diversos tipos de superposição de dobras e falhas.",85,petróleo | óleo | coquinas | bivalves | matéria orgânica | tectônica rifte | altos estruturais | blocos altos falhados | falhas,petróleo -> óleo -> coquinas -> bivalves -> matéria orgânica -> estrutura geológica -> controle estrutural,4,hard,True,multi_document,graphrag
17,Como as evidências diferenciam as funções geológicas de pré-sal e rocha selante?,Como a matéria orgânica nas regiões profundas dos lagos se diferencia das conchas calcárias das partes rasas?,"A primeira está ligada à geração dos hidrocarbonetos, enquanto as conchas calcárias das partes rasas estão ligadas à formação dos reservatórios.",diferenciacao_funcional,Pré-sal: mergulhe nessa jornada ultraprofunda | Petrobras | Sistema petrolífero | Wikipédia,https://petrobras.com.br/pre-sal | https://pt.wikipedia.org/wiki/Sistema_petrol%C3%ADfero,"Nas regiões mais profundas destes lagos começaram a acumular grandes quantidades de matéria orgânica de algas microscópicas. Esta matéria orgânica, misturada a sedimentos, formou o que são as rochas que geram o óleo e o gás do pré-sal. Nas partes mais rasas destes lagos, em grandes ilhas lacustres, surgiram as chamadas conchas calcárias que se acumularam cada vez mais com o passar do tempo. Tanto as conchas calcárias quanto as rochas calcárias compõem os principais reservatórios do pré-sal. Para que estas acumulações ocorram, necessita-se de rochas geradoras maduras, rocha reservatório, rocha selante e a sobrecarga. Além da presença destas rochas, dois processos geológicos são fundamentais: a formação de trapas e a geração, migração e acumulação de hidrocarbonetos.",117,pré-sal | rocha selante | trapa | reservatório | rochas geradoras | hidrocarbonetos | óleo | gás | matéria orgânica,pré-sal -> rocha selante -> trapa -> reservatório -> rochas geradoras -> evidência textual -> relação geológica,4,hard,True,multi_document,graphrag
18,Que papel geológico deve ser atribuído a Bacia de Santos quando as evidências são relacionadas?,Que entidade deve receber a função de reservatório nos carbonatos lacustres do pré-sal?,"As rochas carbonáticas lacustres, incluindo conchas calcárias, estromatólitos e formações como Itapema e Barra Velha, devem ser modeladas como reservatórios.",ontologica_entidade_funcao,Pré-sal: mergulhe nessa jornada ultraprofunda | Petrobras | Campo de Búzios: a jornada desde a caracterização dos reservatórios ao início do desenvolvimento da produção | Universidade Petrobras,https://petrobras.com.br/pre-sal | https://publicacoesup.petrobras.com.br/peld/catalog/book/12/chapter/23,"Tanto as conchas calcárias quanto as rochas calcárias compõem os principais reservatórios do pré-sal. Os reservatórios são rochas carbonáticas de origem lacustre (idade aptiana), depositadas durante o rifteamento oblíquo de abertura da Bacia de Santos e compreende às formações Itapema (Sequência K38) e Barra Velha (Sequências K44 e K46/K48). Nos altos estruturais, a Formação Itapema é composta majoritariamente por rudstones e grainstones de bivalves e a Formação Barra Velha, por estromatólitos, grainstones intraclásticos e esferulititos.",75,Bacia de Santos | pré-sal | Formação Barra Velha | Formação Itapema | reservatório | carbonatos | carbonáticas | estromatólitos | bivalves,Bacia de Santos -> pré-sal -> Formação Barra Velha -> Formação Itapema -> reservatório -> evidência textual -> relação geológica,4,hard,True,multi_document,graphrag
19,Como as evidências disponíveis permitem reinterpretar a pergunta: Qual conclusão pode ser obtida ao combinar a presença de evaporitos com fácies carbonáticas lacustres na seção pré-sal?,Qual conclusão pode ser obtida ao combinar a presença de evaporitos com fácies carbonáticas lacustres na seção pré-sal?,"A seção pré-sal reúne reservatórios carbonáticos lacustres e cobertura evaporítica, formando uma arquitetura favorável à acumulação e retenção de hidrocarbonetos.",interpretativa,Estratigrafia e modelos deposicionais carbonáticos do Pré-sal da Bacia de Santos | Universidade Petrobras | Sistema petrolífero | Wikipédia,https://publicacoesup.petrobras.com.br/peld/catalog/book/12/chapter/16 | https://pt.wikipedia.org/wiki/Sistema_petrol%C3%ADfero,"Campos gigantes e supergigantes de alta produtividade na seção Pré-sal da Bacia de Santos são constituídos predominantemente por fácies carbonáticas lacustres e selados por espessa camada de evaporitos. Sistema petrolífero é um modelo que engloba todos os elementos e processos geológicos necessários à existência de acumulações de óleo e gás. Para que estas acumulações ocorram, necessita-se de rochas geradoras maduras, rocha reservatório, rocha selante e a sobrecarga. Além da presença destas rochas, dois processos geológicos são fundamentais: a formação de trapas e a geração, migração e acumulação de hidrocarbonetos.",89,Bacia de Santos | pré-sal | evaporitos | rocha selante | trapa | reservatório | reservatórios carbonáticos | rochas geradoras | hidrocarbonetos,Bacia de Santos -> pré-sal -> evaporitos -> rocha selante -> trapa -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
20,Como as evidências conectam pré-sal à retenção ou migração de hidrocarbonetos?,Que componente explica por que o óleo do pré-sal não migrou livremente para unidades superiores?,"A espessa camada de sal/evaporitos agiu como barreira sobre as rochas inferiores, interrompendo a migração ascendente do petróleo.",processual_migracao,Petróleo do Pré-Sal | SGB | Pré-sal: mergulhe nessa jornada ultraprofunda | Petrobras,https://www.sgb.gov.br/petroleo-do-pre-sal | https://petrobras.com.br/pre-sal,"Com isso, o petróleo migra para cima através dos poros existentes nas rochas, até encontrar algo que o impeça de continuar se deslocando. Essa espessa camada de sal, formada principalmente de halita (cloreto de sódio, ou seja, o sal que usamos na comida) e anidrita (sulfato de cálcio) é uma barreira que se formou diretamente sobre a rocha geradora, impedindo que, neste caso, o petróleo migrasse. Por causa do clima árido daquele tempo, a evaporação intensa da água marinha provocou a acumulação de sais, o que criou a camada do pré-sal, uma espécie de proteção que impedia que o petróleo 'escapasse' e chegasse à superfície.",105,pré-sal | camada de sal | evaporitos | halita | anidrita | barreira | rocha geradora | petróleo | óleo,pré-sal -> camada de sal -> evaporitos -> halita -> anidrita -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
21,Que interpretação estrutural surge ao relacionar rocha selante com trapa?,Qual interpretação liga fácies ricas em matéria orgânica nos baixos adjacentes às coquinas sobre blocos altos?,Ela indica compartimentação deposicional: matéria orgânica em baixos adjacentes associada à geração e coquinas em altos falhados associadas ao armazenamento carbonático.,estrutural_deposicional,Estratigrafia e modelos deposicionais carbonáticos do Pré-sal da Bacia de Santos | Universidade Petrobras | Sistema petrolífero | Wikipédia,https://publicacoesup.petrobras.com.br/peld/catalog/book/12/chapter/16 | https://pt.wikipedia.org/wiki/Sistema_petrol%C3%ADfero,"Depósitos bioclásticos de moluscos bivalves do Barremiano/Aptiano, denominados coquinas do andar local Jiquiá, ocorrem sobre blocos altos falhados, formados durante a tectônica rifte, em morfologias herdadas do embasamento, intercalados com fácies ricas em matéria orgânica em camadas conformantes contínuas nos baixos adjacentes, em ambiente de água doce a salobra. Para que estas acumulações ocorram, necessita-se de rochas geradoras maduras, rocha reservatório, rocha selante e a sobrecarga. Além da presença destas rochas, dois processos geológicos são fundamentais: a formação de trapas e a geração, migração e acumulação de hidrocarbonetos.",88,rocha selante | trapa | reservatório | rochas geradoras | hidrocarbonetos | coquinas | bivalves | matéria orgânica | tectônica rifte,rocha selante -> trapa -> reservatório -> rochas geradoras -> hidrocarbonetos -> estrutura geológica -> controle estrutural,4,hard,True,multi_document,graphrag
22,"Que relação entre composição, propriedade e função geológica pode ser inferida a partir de pré-sal?",Que tipo de unidade litológica é indicado pelas conchas calcárias do pré-sal?,"Elas indicam reservatórios carbonáticos, pois conchas calcárias e rochas calcárias compõem os principais reservatórios do pré-sal.",composicional_petrofisica,Pré-sal: mergulhe nessa jornada ultraprofunda | Petrobras | Rochas | SGB,https://petrobras.com.br/pre-sal | https://www.sgb.gov.br/rochas,"Nas partes mais rasas destes lagos, em grandes ilhas lacustres, surgiram as chamadas conchas calcárias que se acumularam cada vez mais com o passar do tempo. Tanto as conchas calcárias quanto as rochas calcárias compõem os principais reservatórios do pré-sal. De um modo geral e amplo, as rochas sedimentares mais comuns podem ser divididas em arenosas (detríticas), argilosas (detríticas) e carbonatadas (não detríticas), estas últimas subdivididas em calcários e dolomitos.",70,pré-sal | reservatório | reservatórios carbonáticos | lagos | Elas | Tanto,pré-sal -> reservatório -> reservatórios carbonáticos -> lagos -> Elas -> baixa permeabilidade -> selo geológico,4,hard,True,multi_document,graphrag
